"ENSG00000016490" "ENSG00000197632" "ENSG00000133110"
"f0b3_4ef4" 1.38595996818643 0.754685240041596 0.639286317936085
"7ed8_4eff" 0.265922523192369 0.397605809682402 -0.675975664729195
"690e_45c3" 0.0707266813810436 -0.0253601920893741 0.010089251513114
"f9c8_4025" 1.90312763287757 1.56714050831896 1.41077336033704
"f5d3_41dd" -0.0538037397078586 0.267327312449301 -1.52351723270995
"15e4_4e17" 1.3896962149595 0.900697564832207 0.8083891704628
"b65a_44b4" -0.488514601346274 -1.49889313169154 -1.9757617992805
"8ebb_4e23" 0.0445339030028317 -0.130419695722257 0.148337145700222
"a6d0_4327" 1.98862161968876 1.72652807301465 2.15706142428507
"e207_4fcd" -0.73861682377925 -0.977353657504598 -0.205431340288912
"07f4_4e79" 1.24244506190332 0.33860190691074 -0.0123616669846784
"b9fb_4080" -1.12849696587915 -0.653082197877765 -1.307274749944
"c3df_4109" -0.783447543317766 0.303611797868639 -0.790869188370735
"0447_47e4" -1.71836284982213 -1.24284775058199 -1.92530830136659
"86aa_4206" -1.25090519656995 -0.862936957838941 -0.500053589384203
"1ca9_4a88" 2.26887829544051 1.07256661308225 1.61946131347656
"7bfd_4bf0" -0.566092112498558 -0.287339390058818 0.545122649506448
"4ba3_4efe" 0.805797349771949 0.803617102819183 2.0059514975286
"273e_4084" -0.108196621045251 0.54953330584828 -0.266644047171875
"ed81_42cb" 0.393319067671276 -1.19120609986017 0.690931279852408
"cf2d_4e5f" -0.300515519558552 -0.229047104890655 -1.25487989761977
"22ea_40a1" 0.42207989765135 0.311797921786397 -0.762881802815517
"ae28_4608" 1.14210465086108 0.955773569009652 1.09139273469109
"1299_419b" 0.0166223712943034 -1.44857621422088 0.0356731637913985
"e380_4917" -1.12849696587915 -1.44857621422088 -0.888631646216225
"0d7e_4fec" 0.584283306355925 1.352580505405 -0.326601148053091
"fff9_43b1" 1.45777334123331 0.400092413861537 -0.66516629749567
"2239_4ef1" 0.95552550729552 1.34407907192577 1.87101250878177
"502d_4e7d" 2.05043416903518 1.22735145385935 0.758042881448265
"9c8b_4a61" 0.0166223712943034 0.566446911452461 0.348752281624886
"06f5_4503" 1.26909639042732 1.48685642177953 1.07456195629232
"6ebc_47ef" 0.0377257850760706 -1.82210063804336 -0.249799543678594
"b3c4_45a5" -0.205568319430144 -0.438555784473075 -0.915752062371111
"fb20_4736" 0.52310180345104 -0.0886702110798067 0.77568538687381
"efe7_4deb" 0.469406215503795 0.766721769254069 0.0763606904486596
"53ff_4183" -0.0892824719604295 -0.00263412187248821 0.577484669891144
"44df_487e" 0.867663548832646 0.117058252559081 1.09779297913502
"74f3_4f8a" 1.9853880139283 0.968377144826496 2.0215667163373
"3a8f_4120" -0.833564023907658 -1.10689959938785 -0.259390935006972
"3b7f_4689" 0.277797664889662 1.30931683851051 0.96512408602176
"8cd5_4d95" -0.0623999571809377 -0.653082197877765 1.01198247128857
"767f_4e2a" 0.285534210618287 -0.0177261860649335 0.470097400284386
"107e_4776" 1.0309808280497 0.692182267434326 1.29345045614847
"179c_43ec" 2.24414368487634 1.88733364274437 2.90371224997928
"acb6_4308" 1.37425363720422 -0.536734136722025 0.595378055212761
"29ed_4409" -0.595448461530044 -0.243298660493736 -1.36962142726186
"411a_4fba" 0.362472355320026 1.91422580989854 0.0867135730379402
"d93e_43a4" -0.73861682377925 -0.20115049069099 -0.210011956356936
"87f0_42ad" -0.783447543317766 -0.0291995896457513 -0.329177380620254
"36b7_4822" 0.113009499337596 0.530150274777094 0.143476824057401
"cd0c_4cca" 0.322237839845664 1.13203723451631 -0.347395264013584
"f964_47ea" 1.37926823318302 2.42304321176987 1.91523406979029
"2cfc_42e1" -1.71836284982213 -2.47841478918469 -1.71474926836333
"e549_49d1" 0.505183438328254 1.05233981765272 0.459426054195848
"bf1e_4b60" -1.25090519656995 -0.312688728843646 -1.25487989761977
"5f2e_48a8" -0.955972254598458 -1.77537919737756 -0.553251173122182
"75cf_477a" -0.661039312626966 0.902187261129739 -0.888631646216225
